match_id,date,season,home_team,away_team,referee,home_goals,away_goals,home_yellow_cards,away_yellow_cards,total_yellow_cards,home_red_cards,away_red_cards,home_corners,away_corners,total_corners,home_fouls,away_fouls,total_fouls,has_penalty,penalty_count,medical_exits,referee_strictness
75,2024-05-19,2023-24,Факел,Рубин,Безбородов А.,0,1,2,2,4,0,0,8,5,13,15,16,31,0,0,3,0.8
76,2024-06-20,2023-24,Спартак,Урал,Панин А.,2,2,1,0,1,1,0,10,5,15,13,13,26,0,0,6,1.0
77,2024-07-21,2023-24,Крылья Советов,Ахмат,Чистяков Е.,1,2,1,2,3,0,0,3,7,10,13,16,29,1,0,0,1.1
78,2024-08-22,2023-24,Ростов,Пари НН,Москалев А.,3,2,3,2,5,0,0,7,4,11,12,13,25,1,1,3,1.05
79,2024-09-23,2023-24,Динамо,Краснодар,Левников С.,3,0,1,4,5,0,0,7,5,12,14,8,22,0,0,1,1.3
80,2024-10-24,2023-24,Факел,Крылья Советов,Иванов И.,0,2,0,0,0,0,0,2,2,4,13,13,26,1,0,1,0.95
81,2024-01-25,2023-24,Зенит,Локомотив,Еськов А.,1,3,1,3,4,0,0,6,5,11,14,14,28,0,0,3,0.85
82,2024-02-26,2023-24,Зенит,Рубин,Казарцев С.,3,1,3,1,4,0,0,2,11,13,13,14,27,0,0,1,1.2
83,2024-03-27,2023-24,Ростов,Химки,Панин А.,0,3,2,0,2,1,0,5,6,11,13,15,28,0,0,2,1.0
84,2024-04-28,2023-24,Зенит,Оренбург,Левников С.,1,0,3,3,6,0,0,8,6,14,18,12,30,0,0,0,1.3
85,2024-05-01,2023-24,Пари НН,Рубин,Чистяков Е.,1,1,3,3,6,0,1,8,7,15,12,10,22,0,0,2,1.1
86,2024-06-02,2023-24,Факел,Зенит,Панин А.,1,2,0,0,0,0,0,5,4,9,11,13,24,0,0,5,1.0
87,2024-07-03,2023-24,Зенит,Сочи,Карасев С.,1,3,2,2,4,0,0,8,6,14,14,16,30,1,0,1,1.15
88,2024-08-04,2023-24,Зенит,Спартак,Казарцев С.,0,1,4,0,4,0,0,13,4,17,9,13,22,0,0,3,1.2
89,2024-09-05,2023-24,Локомотив,Оренбург,Казарцев С.,3,3,0,4,4,0,0,2,5,7,16,9,25,1,0,1,1.2
90,2024-10-06,2023-24,Рубин,Сочи,Москалев А.,2,2,1,1,2,0,0,9,8,17,10,17,27,0,0,3,1.05
91,2024-01-07,2023-24,Крылья Советов,Рубин,Карасев С.,1,0,1,2,3,1,0,2,3,5,9,12,21,0,0,6,1.15
92,2024-02-08,2023-24,Спартак,Рубин,Еськов А.,0,2,0,0,0,0,0,3,2,5,8,14,22,0,0,2,0.85
93,2024-03-09,2023-24,Ахмат,Краснодар,Еськов А.,1,0,1,2,3,0,0,7,6,13,12,18,30,1,0,3,0.85
94,2024-04-10,2023-24,Динамо,Химки,Еськов А.,1,4,1,0,1,0,0,5,7,12,11,10,21,0,0,4,0.85
95,2024-05-11,2023-24,Оренбург,Локомотив,Безбородов А.,2,3,2,0,2,1,0,3,5,8,12,11,23,0,0,1,0.8
96,2024-06-12,2023-24,Рубин,Зенит,Казарцев С.,0,1,1,1,2,0,0,11,8,19,13,13,26,0,0,1,1.2
97,2024-07-13,2023-24,Факел,Пари НН,Еськов А.,1,0,0,1,1,0,0,6,3,9,17,10,27,0,0,2,0.85
98,2024-08-14,2023-24,Локомотив,Краснодар,Казарцев С.,0,0,1,1,2,0,0,2,6,8,9,13,22,0,0,4,1.2
99,2024-09-15,2023-24,Урал,Краснодар,Карасев С.,1,0,2,4,6,0,0,7,8,15,11,14,25,0,0,1,1.15
100,2024-10-16,2023-24,Динамо,Ростов,Безбородов А.,0,0,2,2,4,0,0,5,5,10,13,13,26,0,0,0,0.8
101,2024-01-17,2023-24,Оренбург,Локомотив,Иванов И.,2,1,4,0,4,0,0,7,3,10,13,9,22,0,0,0,0.95
102,2024-02-18,2023-24,Крылья Советов,Ахмат,Карасев С.,0,1,6,1,7,0,0,3,5,8,19,11,30,0,0,1,1.15
103,2024-03-19,2023-24,Рубин,Динамо,Иванов И.,0,0,2,3,5,0,0,3,5,8,14,12,26,0,0,2,0.95
104,2024-04-20,2023-24,Динамо,Рубин,Еськов А.,1,0,4,1,5,0,0,4,6,10,16,12,28,0,0,2,0.85
105,2024-05-21,2023-24,Динамо,Факел,Иванов И.,2,2,2,1,3,0,0,3,3,6,10,11,21,0,0,1,0.95
106,2024-06-22,2023-24,Урал,Спартак,Чистяков Е.,0,1,0,4,4,1,0,5,6,11,18,12,30,1,0,2,1.1
107,2024-07-23,2023-24,Локомотив,ЦСКА,Чистяков Е.,3,0,1,2,3,0,0,3,3,6,15,19,34,1,1,0,1.1
108,2024-08-24,2023-24,Ахмат,Пари НН,Еськов А.,3,0,1,1,2,0,1,4,3,7,10,12,22,0,0,2,0.85
109,2024-09-25,2023-24,Сочи,Спартак,Карасев С.,2,0,3,1,4,0,0,5,2,7,11,13,24,1,0,1,1.15
110,2024-10-26,2023-24,Химки,Локомотив,Чистяков Е.,3,0,1,2,3,0,0,5,7,12,16,15,31,1,1,3,1.1
111,2024-01-27,2023-24,Оренбург,Крылья Советов,Безбородов А.,0,1,1,0,1,0,0,5,10,15,17,9,26,0,0,1,0.8
112,2024-02-28,2023-24,Урал,Сочи,Левников С.,2,0,3,3,6,0,0,2,4,6,18,11,29,0,0,3,1.3
113,2024-03-01,2023-24,Крылья Советов,Ростов,Еськов А.,1,2,4,2,6,0,0,4,1,5,15,16,31,0,0,1,0.85
114,2024-04-02,2023-24,Локомотив,Оренбург,Карасев С.,2,2,4,0,4,0,0,5,4,9,10,14,24,1,0,1,1.15
115,2024-05-03,2023-24,Сочи,Локомотив,Москалев А.,0,4,3,5,8,0,0,8,3,11,14,13,27,1,0,0,1.05
116,2024-06-04,2023-24,Рубин,Динамо,Казарцев С.,0,0,2,3,5,0,0,3,7,10,12,16,28,0,0,2,1.2
117,2024-07-05,2023-24,Химки,ЦСКА,Лапочкин С.,0,0,2,1,3,0,0,7,6,13,9,17,26,1,0,2,1.0
118,2024-08-06,2023-24,Локомотив,Зенит,Вилков В.,0,0,4,3,7,0,0,3,5,8,11,12,23,0,0,0,0.9
119,2024-09-07,2023-24,Рубин,Химки,Левников С.,0,2,1,0,1,0,0,3,9,12,19,11,30,0,0,4,1.3
120,2024-10-08,2023-24,Ростов,Ахмат,Москалев А.,1,2,1,1,2,0,0,4,5,9,9,11,20,0,0,0,1.05
121,2024-01-09,2024-25,Спартак,Сочи,Еськов А.,1,0,0,0,0,0,0,6,4,10,15,11,26,0,0,0,0.85
122,2024-02-10,2024-25,Химки,Пари НН,Лапочкин С.,2,1,1,0,1,0,0,8,5,13,14,12,26,0,0,2,1.0
123,2024-03-11,2024-25,Сочи,Зенит,Лапочкин С.,3,1,0,2,2,0,0,4,5,9,11,11,22,0,0,1,1.0
124,2024-04-12,2024-25,Факел,Локомотив,Безбородов А.,2,3,1,5,6,0,0,4,6,10,8,16,24,0,0,2,0.8
125,2024-05-13,2024-25,Оренбург,Спартак,Вилков В.,2,3,0,1,1,0,0,8,1,9,18,18,36,0,0,3,0.9
126,2024-06-14,2024-25,Химки,Оренбург,Матюнин А.,1,4,1,1,2,0,0,9,6,15,11,9,20,1,0,3,1.1
127,2024-07-15,2024-25,Динамо,Урал,Вилков В.,2,2,0,3,3,0,0,4,8,12,12,15,27,0,0,0,0.9
128,2024-08-16,2024-25,ЦСКА,Краснодар,Безбородов А.,0,2,2,1,3,0,0,4,7,11,7,16,23,0,0,1,0.8
129,2024-09-17,2024-25,Динамо,Пари НН,Казарцев С.,1,0,3,1,4,0,0,9,1,10,9,6,15,0,0,2,1.2
130,2024-10-18,2024-25,Спартак,Урал,Панин А.,1,0,5,3,8,0,0,3,3,6,12,14,26,1,0,1,1.0
131,2024-01-19,2024-25,Пари НН,Урал,Карасев С.,2,2,2,3,5,0,0,5,5,10,13,17,30,0,0,3,1.15
132,2024-02-20,2024-25,Сочи,Урал,Левников С.,1,0,2,3,5,0,0,6,3,9,14,12,26,0,0,2,1.3
133,2024-03-21,2024-25,Зенит,Факел,Безбородов А.,1,0,2,2,4,0,0,4,6,10,17,13,30,1,0,2,0.8
134,2024-04-22,2024-25,Крылья Советов,Краснодар,Матюнин А.,1,1,3,2,5,0,0,8,5,13,21,13,34,0,0,1,1.1
135,2024-05-23,2024-25,Ростов,Урал,Вилков В.,2,1,2,0,2,0,0,3,9,12,11,11,22,1,0,3,0.9
136,2024-06-24,2024-25,Факел,Крылья Советов,Матюнин А.,3,1,1,0,1,0,0,8,5,13,13,17,30,1,0,6,1.1
137,2024-07-25,2024-25,Пари НН,Динамо,Вилков В.,3,1,1,3,4,0,0,2,3,5,6,17,23,0,0,0,0.9
138,2024-08-26,2024-25,Локомотив,Химки,Чистяков Е.,1,1,1,0,1,0,0,1,4,5,14,11,25,0,0,2,1.1
139,2024-09-27,2024-25,Рубин,Ахмат,Панин А.,2,0,0,0,0,0,0,3,3,6,8,9,17,0,0,5,1.0
140,2024-10-28,2024-25,Урал,Оренбург,Иванов И.,0,2,3,0,3,0,0,3,4,7,7,19,26,1,1,1,0.95
141,2024-01-01,2024-25,Пари НН,ЦСКА,Карасев С.,1,0,4,4,8,0,0,3,10,13,10,9,19,0,0,3,1.15
142,2024-02-02,2024-25,Спартак,Урал,Чистяков Е.,4,0,1,2,3,0,0,5,7,12,17,9,26,0,0,1,1.1
143,2024-03-03,2024-25,Краснодар,Крылья Советов,Казарцев С.,0,1,2,1,3,0,1,3,9,12,12,12,24,1,1,1,1.2
144,2024-04-04,2024-25,Пари НН,Ростов,Казарцев С.,1,3,3,5,8,0,0,10,3,13,13,15,28,1,0,3,1.2
145,2024-05-05,2024-25,Динамо,Ахмат,Карасев С.,2,3,2,4,6,0,0,6,8,14,13,14,27,1,0,1,1.15
146,2024-06-06,2024-25,Динамо,Ахмат,Москалев А.,0,0,4,3,7,0,0,3,2,5,12,15,27,0,0,1,1.05
147,2024-07-07,2024-25,Рубин,ЦСКА,Панин А.,0,1,2,3,5,0,0,2,4,6,12,11,23,0,0,2,1.0
148,2024-08-08,2024-25,Факел,Ростов,Левников С.,2,0,1,2,3,0,0,5,6,11,13,9,22,0,0,2,1.3
149,2024-09-09,2024-25,Урал,Химки,Карасев С.,1,0,2,1,3,0,0,3,5,8,17,11,28,0,0,2,1.15
150,2024-10-10,2024-25,Рубин,Зенит,Панин А.,1,0,2,2,4,0,0,7,8,15,11,13,24,0,0,3,1.0
151,2024-01-11,2024-25,Химки,Динамо,Левников С.,1,3,0,3,3,0,0,5,7,12,12,15,27,0,0,0,1.3
152,2024-02-12,2024-25,Пари НН,Факел,Еськов А.,0,2,1,2,3,0,0,10,3,13,12,17,29,0,0,0,0.85
153,2024-03-13,2024-25,Оренбург,Локомотив,Москалев А.,1,1,0,0,0,0,0,6,7,13,9,19,28,0,0,1,1.05
154,2024-04-14,2024-25,Ахмат,Локомотив,Иванов И.,2,3,0,1,1,0,0,6,5,11,10,11,21,0,0,0,0.95
155,2024-05-15,2024-25,Оренбург,Спартак,Казарцев С.,1,1,0,3,3,0,0,2,3,5,9,13,22,1,0,1,1.2
156,2024-06-16,2024-25,Спартак,Краснодар,Вилков В.,1,1,0,3,3,0,0,7,4,11,13,10,23,1,1,2,0.9
157,2024-07-17,2024-25,Ахмат,ЦСКА,Лапочкин С.,1,0,3,2,5,0,0,4,3,7,11,13,24,1,0,3,1.0
158,2024-08-18,2024-25,Спартак,Химки,Москалев А.,4,0,3,3,6,0,0,1,4,5,13,13,26,0,0,0,1.05
159,2024-09-19,2024-25,Спартак,Динамо,Матюнин А.,0,0,2,1,3,0,0,3,3,6,15,7,22,0,0,2,1.1
160,2024-10-20,2024-25,Динамо,Рубин,Чистяков Е.,1,1,3,1,4,0,0,6,4,10,14,19,33,0,0,0,1.1
161,2024-01-21,2024-25,Крылья Советов,Ростов,Матюнин А.,0,1,5,2,7,0,0,7,1,8,13,7,20,0,0,2,1.1
162,2024-02-22,2024-25,Спартак,Сочи,Карасев С.,2,0,2,3,5,0,0,2,2,4,14,16,30,1,0,3,1.15
163,2024-03-23,2024-25,Спартак,Динамо,Матюнин А.,1,1,1,2,3,0,0,8,4,12,16,15,31,1,0,1,1.1
164,2024-04-24,2024-25,Зенит,Спартак,Карасев С.,3,3,1,1,2,0,0,3,6,9,16,16,32,0,0,1,1.15
165,2024-05-25,2024-25,Рубин,Спартак,Чистяков Е.,2,0,1,2,3,0,0,3,6,9,10,10,20,0,0,3,1.1
166,2024-06-26,2024-25,Химки,Факел,Еськов А.,0,0,2,3,5,0,0,1,5,6,7,20,27,0,0,2,0.85
167,2024-07-27,2024-25,Ростов,ЦСКА,Еськов А.,1,2,1,1,2,0,1,4,8,12,12,12,24,0,0,1,0.85
168,2024-08-28,2024-25,Ахмат,Локомотив,Лапочкин С.,1,0,1,1,2,0,0,2,4,6,11,15,26,0,0,2,1.0
169,2024-09-01,2024-25,ЦСКА,Урал,Вилков В.,0,1,4,1,5,0,0,1,5,6,23,11,34,1,1,2,0.9
170,2024-10-02,2024-25,Рубин,Урал,Вилков В.,0,1,3,0,3,0,0,3,2,5,7,15,22,0,0,2,0.9
171,2024-01-03,2024-25,Зенит,Химки,Вилков В.,1,1,5,2,7,0,0,2,7,9,13,14,27,0,0,2,0.9
172,2024-02-04,2024-25,Динамо,Пари НН,Москалев А.,0,1,1,2,3,0,0,4,6,10,18,8,26,0,0,0,1.05
173,2024-03-05,2024-25,Локомотив,Ростов,Панин А.,2,3,2,2,4,0,0,5,8,13,7,15,22,0,0,1,1.0
174,2024-04-06,2024-25,Крылья Советов,Спартак,Карасев С.,1,4,2,4,6,0,0,6,5,11,5,12,17,0,0,2,1.15
175,2024-05-07,2024-25,Крылья Советов,Пари НН,Чистяков Е.,1,5,1,1,2,0,0,8,6,14,11,21,32,1,0,2,1.1
176,2024-06-08,2024-25,Динамо,Ахмат,Москалев А.,0,1,3,1,4,0,0,2,7,9,6,15,21,1,1,1,1.05
177,2024-07-09,2024-25,Рубин,Ахмат,Вилков В.,4,2,0,3,3,0,0,7,5,12,12,10,22,0,0,3,0.9
178,2024-08-10,2024-25,Пари НН,Сочи,Левников С.,4,1,2,2,4,0,0,4,2,6,12,13,25,0,0,2,1.3
179,2024-09-11,2024-25,Пари НН,Спартак,Лапочкин С.,0,1,2,2,4,0,0,4,3,7,13,15,28,1,1,2,1.0
180,2024-10-12,2024-25,Локомотив,Крылья Советов,Казарцев С.,1,0,2,2,4,0,0,4,5,9,15,12,27,0,0,2,1.2
181,2024-01-13,2024-25,Краснодар,Факел,Левников С.,1,1,2,1,3,0,0,4,5,9,16,15,31,0,0,0,1.3
182,2024-02-14,2024-25,Спартак,Зенит,Иванов И.,1,1,2,0,2,1,0,4,4,8,15,14,29,1,0,0,0.95
183,2024-03-15,2024-25,ЦСКА,Урал,Левников С.,1,0,0,0,0,0,0,5,10,15,18,6,24,0,0,1,1.3
184,2024-04-16,2024-25,ЦСКА,Оренбург,Чистяков Е.,1,0,3,0,3,0,0,6,9,15,21,7,28,0,0,1,1.1
185,2024-05-17,2024-25,Оренбург,Спартак,Еськов А.,3,0,5,0,5,0,0,3,8,11,19,12,31,0,0,0,0.85
186,2024-06-18,2024-25,Локомотив,Динамо,Вилков В.,1,2,0,0,0,0,0,4,4,8,13,12,25,0,0,2,0.9
187,2024-07-19,2024-25,Спартак,Оренбург,Безбородов А.,3,2,1,1,2,0,0,2,3,5,12,8,20,0,0,0,0.8
188,2024-08-20,2024-25,Сочи,Спартак,Иванов И.,0,2,0,1,1,0,0,6,4,10,11,15,26,0,0,1,0.95
189,2024-09-21,2024-25,Ахмат,Оренбург,Матюнин А.,3,0,0,1,1,0,0,4,3,7,11,12,23,0,0,4,1.1
190,2024-10-22,2024-25,Урал,Рубин,Левников С.,1,2,0,3,3,0,0,4,4,8,9,12,21,0,0,3,1.3
191,2024-01-23,2024-25,Урал,Спартак,Безбородов А.,3,2,0,1,1,0,0,2,2,4,10,13,23,0,0,2,0.8
192,2024-02-24,2024-25,Крылья Советов,Краснодар,Левников С.,1,0,2,0,2,0,0,8,6,14,19,25,44,0,0,2,1.3
193,2024-03-25,2024-25,Урал,Зенит,Казарцев С.,4,0,1,1,2,0,0,3,4,7,12,16,28,1,0,3,1.2
194,2024-04-26,2024-25,Краснодар,Локомотив,Безбородов А.,1,1,2,3,5,0,0,3,6,9,19,16,35,0,0,3,0.8
195,2024-05-27,2024-25,Локомотив,Спартак,Казарцев С.,3,0,1,3,4,0,0,6,5,11,10,13,23,0,0,1,1.2
196,2024-06-28,2024-25,Динамо,Химки,Иванов И.,0,0,2,0,2,0,0,6,3,9,13,14,27,0,0,2,0.95
197,2024-07-01,2024-25,Химки,Крылья Советов,Москалев А.,2,0,4,3,7,0,0,6,3,9,12,20,32,0,0,2,1.05
198,2024-08-02,2024-25,Ростов,Крылья Советов,Чистяков Е.,3,0,2,1,3,0,0,1,6,7,14,13,27,0,0,2,1.1
199,2024-09-03,2024-25,Зенит,Сочи,Безбородов А.,3,0,2,3,5,0,0,5,5,10,17,14,31,0,0,1,0.8
200,2024-10-04,2024-25,Динамо,Химки,Чистяков Е.,0,1,1,2,3,0,0,6,3,9,14,16,30,1,0,4,1.1
201,2024-01-05,2024-25,Ахмат,Локомотив,Еськов А.,2,1,2,2,4,0,0,4,4,8,16,11,27,1,1,2,0.85
